año,trimestre,provincia,banda_ancha_fija,dial_up,total
2024,1,Buenos Aires,5.038.657,5.9,5.044.557
2024,1,Capital Federal,1.502.661,2.05,1.504.711
2024,1,Catamarca,74.932,1.0,74.933
2024,1,Chaco,155.538,5.0,155.543
2024,1,Chubut,169.819,857.0,170.676
2024,1,Córdoba,1.082.136,63.0,1.082.199
2024,1,Corrientes,157.891,3.0,157.894
2024,1,Entre Ríos,296.532,20.0,296.552
2024,1,Formosa,62.718,0.0,62.718
2024,1,Jujuy,118.053,0.0,118.053
2024,1,La Pampa,122.033,162.0,122.195
2024,1,La Rioja,87.778,4.0,87.782
2024,1,Mendoza,301.867,730.0,302.597
2024,1,Misiones,202.556,0.0,202.556
2024,1,Neuquén,163.807,439.0,164.246
2024,1,Río Negro,170.504,515.0,171.019
2024,1,Salta,202.856,5.0,202.861
2024,1,San Juan,106.419,247.0,106.666
2024,1,San Luis,155.925,165.0,156.090
2024,1,Santa Cruz,80.021,187.0,80.208
2024,1,Santa Fe,918.482,106.0,918.588
2024,1,Santiago Del Estero,124.360,2.0,124.362
2024,1,Tierra Del Fuego,61.250,305.0,61.555
2024,1,Tucumán,264.568,27.0,264.595
2023,4,Buenos Aires,5.005.720,5.9,5.011.620
2023,4,Capital Federal,1.472.317,2.05,1.474.367
2023,4,Catamarca,74.586,1.0,74.587
2023,4,Chaco,147.381,5.0,147.386
2023,4,Chubut,169.313,857.0,170.170
2023,4,Córdoba,1.079.239,63.0,1.079.302
2023,4,Corrientes,159.469,3.0,159.472
2023,4,Entre Ríos,298.617,20.0,298.637
2023,4,Formosa,62.002,0.0,62.002
2023,4,Jujuy,118.020,0.0,118.020
2023,4,La Pampa,121.164,162.0,121.326
2023,4,La Rioja,87.717,4.0,87.721
2023,4,Mendoza,298.621,730.0,299.351
2023,4,Misiones,200.333,0.0,200.333
2023,4,Neuquén,164.188,439.0,164.627
2023,4,Río Negro,167.902,515.0,168.417
2023,4,Salta,204.727,5.0,204.732
2023,4,San Juan,102.963,247.0,103.210
2023,4,San Luis,154.520,165.0,154.685
2023,4,Santa Cruz,86.844,187.0,87.031
2023,4,Santa Fe,909.395,106.0,909.501
2023,4,Santiago Del Estero,123.228,2.0,123.230
2023,4,Tierra Del Fuego,61.294,305.0,61.599
2023,4,Tucumán,266.308,27.0,266.335
