año,trimestre,ingresos(miles de pesos),periodo,fecha_inicio,fecha_fin
2024,1,"280.419.124,08",Ene-Mar 2024,2024-01-01,2024-03-01
2023,4,"167.376.014,80",Oct-Dic 2023,2023-10-01,2023-12-01
2023,3,"133.106.593,41",Jul-Sept 2023,2023-07-01,2023-09-01
2023,2,"118.060.280,28",Jun-Mar 2023,2023-06-01,2023-03-01
2033,1,"104.134.992,81",Ene-Mar 2023,2023-01-01,2023-03-01
2022,4,"72.443.482,99",Oct-Dic 2022,2022-10-01,2022-12-01
2022,3,"64.086.784,33",Jul-Sept 2022,2022-07-01,2022-09-01
2022,2,"60.419.500,62",Abr-Jun 2022,2022-04-01,2022-06-01
2022,1,"55.219.313,01",Ene-Mar 2022,2022-01-01,2022-03-01
2021,4,"45.467.887,17",Oct-Dic 2021,2021-10-01,2021-12-01
2021,3,"42.999.944,29",Jul-Sept 2021,2021-07-01,2021-09-01
2021,2,"38.239.666,63",Abr-Jun 2021,2021-04-01,2021-06-01
2021,1,"36.676.371,36",Ene-Mar 2021,2021-01-01,2021-03-01
2020,4,"33.539.702,72",Oct-Dic 2020,2020-10-01,2020-12-01
2020,3,"31.997.444,53",Jul-Sept 2020,2020-07-01,2020-09-01
2020,2,"32.102.475,99",Abr-Jun 2020,2020-04-01,2020-06-01
2020,1,"29.946.216,45",Ene-Mar 2020,2020-01-01,2020-03-01
2019,4,"24.169.250,70",Oct-Dic 2019,2019-10-01,2019-12-01
2019,3,"21.652.748,44",Jul-Sept 2019,2019-07-01,2019-09-01
2019,2,"20.743.117,69",Abr-Jun 2019,2019-04-01,2019-06-01
2019,1,"20.207.413,77",Ene-Mar 2019,2019-01-01,2019-03-01
2018,4,"16.637.686,59",Oct-Dic 2018,2018-10-01,2018-12-01
2018,3,"15.410.980,69",Jul-Sept 2018,2018-07-01,2018-09-01
2018,2,"14.319.467,46",Abr-Jun 2018,2018-04-01,2018-06-01
2018,1,"13.171.459,23",Ene-Mar 2018,2018-01-01,2018-03-01
2017,4,"11.226.127,39",Oct-Dic 2017,2017-10-01,2017-12-01
2017,3,"10.065.997,86",Jul-Sept 2017,2017-07-01,2017-09-01
2017,2,"9.678.646,93",Abr-Jun 2017,2017-04-01,2017-06-01
2017,1,"8.701.201,42",Ene-Mar 2017,2017-01-01,2017-03-01
2016,4,"7.483.980,39",Oct-Dic 2016,2016-10-01,2016-12-01
2016,3,"6.912.441,54",Jul-Sept 2016,2016-07-01,2016-09-01
2016,2,"6.534.240,60",Abr-Jun 2016,2016-04-01,2016-06-01
2016,1,"5.936.844,89",Ene-Mar 2016,2016-01-01,2016-03-01
2015,4,"5.376.899,21",Oct-Dic 2015,2015-10-01,2015-12-01
2015,3,"5.153.738,88",Jul-Sept 2015,2015-07-01,2015-09-01
2015,2,"4.701.790,72",Abr-Jun 2015,2015-04-01,2015-06-01
2015,1,"4.876.385,32",Ene-Mar 2015,2015-01-01,2015-03-01
2014,4,"3.950.440,78",Oct-Dic 2014,2014-10-01,2014-12-01
2014,3,"3.478.637,74",Jul-Sept 2014,2014-07-01,2014-09-01
2014,2,"3.270.816,20",Abr-Jun 2014,2014-04-01,2014-06-01
2014,1,"2.984.054,21",Ene-Mar 2014,2014-01-01,2014-03-01
